Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Watchers,Watchers Id,Custom field (Actual Result),Custom field (Actual Result)_13,Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Expected Result)_14,Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Sprint_15,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Data),Custom field (Test Level),Custom field (Test Steps),Custom field (Test steps).1,Custom field (Testcase Result),Custom field (Testcase Result)_16,Custom field (Text Level),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment,Parent,Parent summary,Status Category
Balance Enquiry,BN-1,10139,Epic,To Do,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,12/10/2022 11:34,12/24/2022 20:37,3/17/2023 15:09,,,0,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,,ghx-label-7,,,Balance Enquiry,To Do,,,,purple,,,0|i000ov:i,,,,,,,,,,,,,,,,,,,,,,,To Do
Balance Enquiry,BAN-1,10000,Epic,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,12/6/2022 8:24,12/6/2022 8:24,3/17/2023 15:09,,,0,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,,,,,,,,,,purple,,,0|hzzzzz:,,,,,,,,,,,,,,,,,,,,,,,To Do
BE30 - verify Balance Enquiry - Account No must not be blank,BN-20,10158,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/10/2022 12:28,12/16/2022 7:25,3/17/2023 15:09,12/16/2022 7:25,,0,BalanceEnquiry,Account No must not be blank,Syo,62980eb8b407cc006900240b,,báo l?i,,BN-1,Balance Enquiry,,,,báo l?i,,,,,0|i000ry:lzzzzk,,BN Sprint 1,,,,,,,,,,,,"1  ??ng nh?p ?? tr?ng tài kho?n
2. sumit",,Pass,Unit,,,,,,Done
BE30 - verify Balance Enquiry - Account No must not be blank,BAN-29,10028,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/6/2022 9:24,12/9/2022 13:14,3/17/2023 15:09,,12/13/2022 0:00,0,BalanceEnquiry,Account No must not be blank,Syo,62980eb8b407cc006900240b,,,,,,,,hi?n th? l?i n?u không nh?p s? tài kho?n,,,,,,0|i0003i:zzzzv,,BAN Sprint 1,,,,,,,,,,,,,Skip,,,,,,10000,Balance Enquiry,To Do
BE31 - verify Balance Enquiry - Special character are not allowed,BN-21,10159,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/10/2022 12:31,12/16/2022 7:26,3/17/2023 15:09,12/16/2022 7:26,,0,BalanceEnquiry, Special character are not allowed,Syo,62980eb8b407cc006900240b,,báo l?i,,BN-1,Balance Enquiry,,,,báo l?i,,,,,0|i000ry:lzzzzq,,BN Sprint 1,,,,,,,,,,,,"1 nh?p tài kho?n v?i ký t? ??t bi?t
2 sumit",,Pass,Unit,,,,,,Done
BE31 - verify Balance Enquiry - Special character are not allowed,BAN-22,10021,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/6/2022 9:21,12/9/2022 13:17,3/17/2023 15:09,,12/13/2022 0:00,0,BalanceEnquiry,Special character are not allowed,Syo,62980eb8b407cc006900240b,thành công,,,,,,,hi?n th? l?i ,,,,,,0|i0003i:zzzzx,,BAN Sprint 1,,,,,,,,,,Unit,,,,,,,,,10000,Balance Enquiry,To Do
BE32 - verify Balance Enquiry - Characters are not allowed,BN-24,10162,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/10/2022 12:33,12/16/2022 7:27,3/17/2023 15:09,12/16/2022 7:27,,0,,  Characters are not allowed,Syo,62980eb8b407cc006900240b,,báo l?i,,BN-1,Balance Enquiry,,,,báo l?i,,,,,0|i000ry:lzzzzn,,BN Sprint 1,,,,,,,,,,,,"1 nh?p tài kho?n v?i ký t? không ???c phép
2 sumit",,Skip,,,,,,,Done
BE32 - verify Balance Enquiry - Characters are not allowed,BAN-25,10024,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/6/2022 9:22,12/9/2022 13:16,3/17/2023 15:09,,12/13/2022 0:00,0,BalanceEnquiry,Characters are not allowed,Syo,62980eb8b407cc006900240b,,,,,,,,hi?n th? l?i khi có các ký t? cho không ???c cho phép,,,,,,0|i0003i:zzzzy,,BAN Sprint 1,,,,,,,,,,Unit,,,Skip,,,,,,10000,Balance Enquiry,To Do
Buy Item,NC-5,10392,Epic,To Do,NC,N5_CD21CT5,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,1/3/2023 8:14,3/16/2023 0:12,1/3/2023 10:32,,,0,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,,ghx-label-7,,,Buy Item,To Do,,,,purple,,,0|i001o7:,,,,,,,,,,,,,,,,,,,,,,,To Do
"C23 - Verify Cart - If the quantity changes, the total amount of the product must change",NC-38,10425,Story,In Progress,NC,N5_CD21CT5,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Trinhkem Chamchi,638e9548fde064eda2f213e0,Trinhkem Chamchi,638e9548fde064eda2f213e0,1/3/2023 10:44,3/15/2023 18:37,1/3/2023 10:51,,,0,Cart,"If the quantity changes, the total amount of the product must change",Trinhkem Chamchi,638e9548fde064eda2f213e0,,Success,,NC-4,Cart,,,,Success,,,,,0|i001un:,,NC Sprint 1,,,,,,,,,,,,"1. Enter Change quantity
2. Update",,Pass,Unit,,,,,,In Progress
"C24 - Verify Cart - If the product changes, the cart must update the changed product",NC-40,10427,Story,In Progress,NC,N5_CD21CT5,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,Trinhkem Chamchi,638e9548fde064eda2f213e0,1/3/2023 10:55,3/16/2023 16:39,3/16/2023 16:47,,,0,Cart,"If the product changes, the cart must update the changed product",Trinhkem Chamchi,638e9548fde064eda2f213e0,,Success,,NC-4,Cart,,,,Success,,,,,0|i001uv:,,NC Sprint 1,,,,,,,,,,,,"1. Enter Change products
2. Update",,Pass,Unit,,,,,,In Progress
"C25 - Verify Cart - If add new product , the cart must update amount money",NC-41,10428,Story,In Progress,NC,N5_CD21CT5,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Trinhkem Chamchi,638e9548fde064eda2f213e0,Trinhkem Chamchi,638e9548fde064eda2f213e0,1/3/2023 10:55,3/16/2023 18:56,3/16/2023 18:30,,,0,Cart,"If there are two or more products, the cart must update the total amount of 2 products",Trinhkem Chamchi,638e9548fde064eda2f213e0,,Success,,NC-4,Cart,,,,Success,,,,,0|i001v3:,,NC Sprint 1,,,,,,,,,,,,"1. Add products
2. Update",,Pass,Unit,,,,,,In Progress
"C26 - Verify Cart - If you delete products, update your cart and total money",NC-42,10429,Story,In Progress,NC,N5_CD21CT5,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Trinhkem Chamchi,638e9548fde064eda2f213e0,Trinhkem Chamchi,638e9548fde064eda2f213e0,1/3/2023 10:55,3/15/2023 18:37,3/16/2023 18:30,,,0,Cart,"If you delete products, update your cart and total money",Trinhkem Chamchi,638e9548fde064eda2f213e0,,Success,,NC-4,Cart,,,,Success,,,,,0|i001vb:,,NC Sprint 1,,,,,,,,,,,,"1. Enter delete products
2. Update",,Pass,Unit,,,,,,In Progress
C27 - Verify Change Password - Old Password is not be blank,NC-44,10431,Story,In Progress,NC,N5_CD21CT5,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Trinhkem Chamchi,638e9548fde064eda2f213e0,Trinhkem Chamchi,638e9548fde064eda2f213e0,1/3/2023 11:08,3/15/2023 18:37,3/16/2023 18:26,,,0,ChangePass,Old Password is not be blank,Trinhkem Chamchi,638e9548fde064eda2f213e0,,Show error,,NC-3,Change Password,,,,Show error,,,,,0|i001vr:,,NC Sprint 1,,,,,,,,,,,,"1. Enter Old Password is blank
2. Update",,Pass,Unit,,,,,,In Progress
C28 - Verify Change Password - New Password is not be blank,NC-46,10433,Story,In Progress,NC,N5_CD21CT5,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Trinhkem Chamchi,638e9548fde064eda2f213e0,Trinhkem Chamchi,638e9548fde064eda2f213e0,1/3/2023 11:12,3/15/2023 18:37,3/16/2023 19:15,,,0,ChangePass,New Password is not be blank,Trinhkem Chamchi,638e9548fde064eda2f213e0,,Show error,,NC-3,Change Password,,,,Show error,,,,,0|i001w7:,,NC Sprint 1,,,,,,,,,,,,"1. Enter New Password is blank
2. Update",,Pass,Unit,,,,,,In Progress
"C29 - Verify Change Password - Old Password is valid, if invalid display show error",NC-47,10434,Story,In Progress,NC,N5_CD21CT5,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Trinhkem Chamchi,638e9548fde064eda2f213e0,Trinhkem Chamchi,638e9548fde064eda2f213e0,1/3/2023 11:12,3/15/2023 18:37,3/16/2023 19:21,,,0,ChangePass,"Old Password is valid, if invalid display show error",Trinhkem Chamchi,638e9548fde064eda2f213e0,,Show error,,NC-3,Change Password,,,,Show error,,,,,0|i001wf:,,NC Sprint 1,,,,,,,,,,,,"1. Enter Old Password is not invalid
2. Update",,Pass,Unit,,,,,,In Progress
C30 - Verify Change Password - the new password not matches the old password,NC-48,10435,Story,In Progress,NC,N5_CD21CT5,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Trinhkem Chamchi,638e9548fde064eda2f213e0,Trinhkem Chamchi,638e9548fde064eda2f213e0,1/3/2023 11:12,3/15/2023 18:37,3/16/2023 21:07,,,0,ChangePass,the new password not matches the old password,Trinhkem Chamchi,638e9548fde064eda2f213e0,,Show error,,NC-3,Change Password,,,,Show error,,,,,0|i001wn:,,NC Sprint 1,,,,,,,,,,,,"1. Enter the new password matches the old password. 
2. Update",,Pass,Unit,,,,,,In Progress
Cart,NC-4,10391,Epic,To Do,NC,N5_CD21CT5,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,1/3/2023 8:14,3/16/2023 0:12,3/17/2023 15:09,,,0,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,,ghx-label-7,,,Cart,To Do,,,,purple,,,0|i001nz:,,,,,,,,,,,,,,,,,,,,,,,To Do
Change Password,NC-3,10390,Epic,To Do,NC,N5_CD21CT5,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,1/3/2023 8:14,1/3/2023 11:12,3/17/2023 15:09,,,0,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,,ghx-label-7,,,Change Password,To Do,,,,purple,,,0|i001nr:,,,,,,,,,,,,,,,,,,,,,,,To Do
Change Password,BN-5,10143,Epic,To Do,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,12/10/2022 11:34,12/24/2022 21:05,3/17/2023 15:09,,,0,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,,ghx-label-7,,,Change Password,To Do,,,,purple,,,0|i000pz:,,,,,,,,,,,,,,,,,,,,,,,To Do
Change Password,BAN-5,10004,Epic,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,12/6/2022 8:25,12/6/2022 8:25,3/17/2023 15:09,,,0,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,,,,,,,,,,purple,,,0|i0000v:,,,,,,,,,,,,,,,,,,,,,,,To Do
CP100 - Verify Change Password - Enter at-least one special character,BN-74,10212,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,12/10/2022 12:51,12/15/2022 16:41,3/17/2023 15:09,12/15/2022 16:41,,0,ChangePass,Enter at-least one special character,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,,,BN-5,Change Password,,,,Show error message,,,,,0|i000ry:zzzzxx,,BN Sprint 1,,,,,,,,,,,,"1. Do not enter special character, only enter numberic , case-sensitive value.
2. enter submit",,Skip,Unit,,,,,,Done
CP100 - Verify Change Password - Enter at-least one special character,BAN-88,10087,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,12/6/2022 9:54,12/6/2022 16:38,3/17/2023 15:09,,12/20/2022 0:00,0,MiniStatementPage,Enter at-least one special character,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,,,,,,,,,,,,,0|i000i7:,,BAN Sprint 1,,,,,,,,,,Unit,"# abc
# def",,,,,,,,10004,Change Password,To Do
CP101 - Verify Change Password - Choose a difficult Password,BN-76,10214,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,12/10/2022 12:52,12/15/2022 16:41,3/17/2023 15:09,12/15/2022 16:41,,0,ChangePass,Choose a difficult Password,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,,,BN-5,Change Password,,,,Show error message,,,,,0|i000ry:zzzzxy,,BN Sprint 1,,,,,,,,,,,,"1. Enter a easy Password
2. enter submit",,Skip,Unit,,,,,,Done
CP101 - Verify Change Password - Choose a difficult Password,BAN-91,10090,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,12/6/2022 9:54,12/6/2022 16:38,3/17/2023 15:09,,12/20/2022 0:00,0,MiniStatementPage,Choose a difficult Password,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,,,,,,,,,,,,,0|i000iv:,,BAN Sprint 1,,,,,,,,,,Unit,"# abc
# def",,,,,,,,10004,Change Password,To Do
CP102 - Verify Change Password - Confirm Password must not be blank,BN-78,10216,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,12/10/2022 12:52,12/15/2022 16:41,3/17/2023 15:09,12/15/2022 16:41,,0,ChangePass,Confirm Password must not be blank,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,,,BN-5,Change Password,,,,Show error message,,,,,0|i000ry:zzzzxz,,BN Sprint 1,,,,,,,,,,,,"1. Leave Confirm Password field blank
2 enter submit",,Skip,Unit,,,,,,Done
CP102 - Verify Change Password - Confirm Password must not be blank,BAN-94,10093,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,12/6/2022 9:55,12/6/2022 16:38,3/17/2023 15:09,,12/20/2022 0:00,0,MiniStatementPage,Confirm Password must not be blank,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,,,,,,,,,,,,,0|i000jj:,,BAN Sprint 1,,,,,,,,,,Unit,"# abc
# def",,,,,,,,10004,Change Password,To Do
CP103 - Verify Change Password - Passwords do not Match,BN-80,10218,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,12/10/2022 12:52,12/15/2022 16:41,3/17/2023 15:09,12/15/2022 16:41,,0,ChangePass,Passwords do not Match,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,,,BN-5,Change Password,,,,show error,,,,,0|i000ry:zzzzxzi,,BN Sprint 1,,,,,,,,,,,,"1. Enter cofirm Passwords do not same new password
2. enter submit",,Skip,Unit,,,,,,Done
CP103 - Verify Change Password - Passwords do not Match,BAN-97,10096,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,12/6/2022 9:57,12/6/2022 16:38,3/17/2023 15:09,,12/20/2022 0:00,0,MiniStatementPage,Account No must not be blank,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,,,,,,,,,,,,,0|i000k7:,,BAN Sprint 1,,,,,,,,,,Unit,"# abc
# def",,,,,,,,10004,Change Password,To Do
CP97 - Verify Change Password - Old Password must not be blank,BN-60,10198,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,12/10/2022 12:46,12/15/2022 16:41,3/17/2023 15:09,12/15/2022 16:41,,0,ChangePass,Old Password must not be blank,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,,,BN-5,Change Password,,,,Show error message,,,,,0|i000ry:zzzzxi,,BN Sprint 1,,,,,,,,,,,,"1. Leave Old Password field blank and fill other field
2. enter submit",,Skip,Unit,,,,,,Done
CP97 - Verify Change Password - Old Password must not be blank,BAN-74,10073,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,12/6/2022 9:49,12/6/2022 16:37,3/17/2023 15:09,,12/20/2022 0:00,0,MiniStatementPage,Old Password must not be blank,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,,,,,,,,,,,,,0|i000f3:,,BAN Sprint 1,,,,,,,,,,Unit,"# abc
# def",,,,,,,,10004,Change Password,To Do
CP98 - Verify Change Password - New Password must not be blank,BN-70,10208,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,12/10/2022 12:51,12/15/2022 16:41,3/17/2023 15:09,12/15/2022 16:41,,0,ChangePass,New Password must not be blank,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,,,BN-5,Change Password,,,,show error message,,,,,0|i000ry:zzzzxr,,BN Sprint 1,,,,,,,,,,,,"1. Leave New Password field blank and fill other field
2. enter submit",,Skip,Unit,,,,,,Done
CP98 - Verify Change Password - New Password must not be blank,BAN-83,10082,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,12/6/2022 9:52,12/6/2022 16:37,3/17/2023 15:09,,12/20/2022 0:00,0,MiniStatementPage,New Password must not be blank,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,,,,,,,,,,,,,0|i000h3:,,BAN Sprint 1,,,,,,,,,,Unit,"# abc
# def",,,,,,,,10004,Change Password,To Do
CP99 - Verify Change Password - Enter at-least one numeric value,BN-72,10210,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,12/10/2022 12:51,12/15/2022 16:41,3/17/2023 15:09,12/15/2022 16:41,,0,ChangePass,Enter at-least one numeric value,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,,,BN-5,Change Password,,,,Show error message,,,,,0|i000ry:zzzzxv,,BN Sprint 1,,,,,,,,,,,,"1. Do not enter numeric value, only Enter a case-sensitive value
2. enter submit",,Pass,Unit,,,,,,Done
CP99 - Verify Change Password - Enter at-least one numeric value,BAN-84,10083,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,12/6/2022 9:53,12/6/2022 16:37,3/17/2023 15:09,,12/20/2022 0:00,0,MiniStatementPage,Enter at-least one numeric value,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,,,,,,,,,,,,,0|i000hb:,,BAN Sprint 1,,,,,,,,,,Unit,"# abc
# def",,,,,,,,10004,Change Password,To Do
CSF33 - verify Customized Statement Form - Account No - Account Number must not be blank,BN-29,10167,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/10/2022 12:35,12/15/2022 7:06,3/17/2023 15:09,12/15/2022 7:06,,0,CustomizedStatemenForm,Account No - Account Number must not be blank,Syo,62980eb8b407cc006900240b,,báo l?i,,BN-4,Customized Statement,,,,báo l?i ,,,,,0|i000ry:lzzzzy,,BN Sprint 1,,,,,,,,,,,,"1 không nh?p tài kho?n
2 sumit",,Pass,Unit,,,,,,Done
CSF33 - verify Customized Statement Form - Account No - Account Number must not be blank,BAN-32,10031,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/6/2022 9:27,12/6/2022 10:28,3/17/2023 15:09,,12/13/2022 0:00,0,CustomizedStatemenForm,Account No - Account Number must not be blank,Syo,62980eb8b407cc006900240b,,,,,,,,,,,,,,0|i0003i:zzzzz,,BAN Sprint 1,,,,,,,,,,Unit,,,,,,,,,10003,Customized Statement,To Do
CSF34 - verify Customized Statement Form - Account No - Characters are not allowed,BN-30,10168,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/10/2022 12:36,12/15/2022 7:07,3/17/2023 15:09,12/15/2022 7:07,,0,CustomizedStatemenForm,Account No - Characters are not allowed,Syo,62980eb8b407cc006900240b,,báo l?i,,BN-4,Customized Statement,,,,báo l?i,,,,,0|i000ry:o,,BN Sprint 1,,,,,,,,,,,,"1 nh?p tên không ???c phép
2 sumit",,Pass,Unit,,,,,,Done
CSF34 - verify Customized Statement Form - Account No - Characters are not allowed,BAN-33,10032,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/6/2022 9:28,12/6/2022 10:28,3/17/2023 15:09,,12/13/2022 0:00,0,CustomizedStatemenForm,Account No - Characters are not allowed,Syo,62980eb8b407cc006900240b,,,,,,,,,,,,,,0|i0003i:zzzzzi,,BAN Sprint 1,,,,,,,,,,Unit,,,,,,,,,10003,Customized Statement,To Do
CSF35 - verify Customized Statement Form - Account No - Special characters are not allowed,BN-43,10181,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/10/2022 12:40,12/15/2022 7:07,3/17/2023 15:09,12/15/2022 7:07,,0,CustomizedStatemenForm,Account No - Special characters are not allowed,Syo,62980eb8b407cc006900240b,,báo l?i,,BN-4,Customized Statement,,,,báo l?i,,,,,0|i000ry:r,,BN Sprint 1,,,,,,,,,,,,"1 nh?p ký t? không ???c phép
2 sumit",,Pass,Unit,,,,,,Done
CSF35 - verify Customized Statement Form - Account No - Special characters are not allowed,BAN-41,10040,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/6/2022 9:36,12/6/2022 16:10,3/17/2023 15:09,,12/13/2022 0:00,0,CustomizedStatemenForm, Account No - Special characters are not allowed,Syo,62980eb8b407cc006900240b,,,,,,,,,,,,,,0|i0003i:zzzzzr,,BAN Sprint 1,,,,,,,,,,Unit,,,,,,,,,10003,Customized Statement,To Do
CSF36 - verify Customized Statement Form - Amount Lower Limit – Special character are not allowed,BN-45,10183,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/10/2022 12:41,12/15/2022 7:07,3/17/2023 15:09,12/15/2022 7:07,,0,CustomizedStatemenForm,Amount Lower Limit – Special character are not allowed,Syo,62980eb8b407cc006900240b,,báo l?i,,BN-4,Customized Statement,,,,báo l?i,,,,,0|i000ry:ti,,BN Sprint 1,,,,,,,,,,,,"1 nh?p ký t? ??t bi?t vào 
2 sumit",,Pass,Unit,,,,,,Done
